age,experience_years,skill_score,interview_score,education_level,hired
62,12,6,2,1,0
50,7,5,7,1,0
36,29,8,3,5,1
22,17,9,3,1,1
46,24,3,2,4,0
28,0,10,8,5,1
30,14,3,6,1,1
45,7,3,1,2,0
22,27,6,1,5,1
65,10,1,7,5,0
29,11,7,8,4,0
45,11,1,5,3,0
32,3,5,5,3,0
38,15,10,4,4,1
29,3,8,6,4,1
56,4,4,6,4,0
56,23,5,3,3,1
54,4,4,9,4,1
26,7,4,7,1,1
63,30,8,1,5,0
60,9,2,7,5,0
62,16,1,5,2,0
49,27,3,5,2,0
28,30,9,2,5,0
30,25,4,4,1,0
29,8,10,6,3,1
33,21,5,10,3,1
55,18,2,7,1,0
54,28,4,5,3,1
44,13,2,9,4,1
45,7,2,3,5,0
58,8,4,1,5,0
56,21,6,4,1,1
65,10,7,9,3,0
61,22,10,4,2,1
43,0,3,2,2,0
48,13,3,10,3,0
56,4,10,5,2,1
22,20,6,3,1,0
56,25,3,9,1,0
58,13,2,4,3,1
35,3,8,6,2,1
24,21,5,2,1,0
22,22,1,6,1,0
26,24,3,3,4,0
47,0,10,9,4,1
35,30,8,2,1,1
60,21,4,9,3,1
48,22,7,5,5,1
30,18,10,8,5,1
36,7,2,2,1,0
36,14,7,6,1,1
47,20,5,3,1,0
63,14,5,10,3,1
34,8,6,5,4,0
53,20,9,8,1,1
60,8,6,10,1,1
53,9,8,1,2,0
25,19,7,5,3,0
51,24,9,3,1,1
58,20,4,4,2,1
44,25,2,2,5,0
60,8,7,9,1,0
36,2,6,3,1,0
64,30,1,2,2,0
50,19,9,10,3,1
57,24,9,9,1,1
34,25,2,7,5,1
53,10,3,6,1,0
28,5,5,1,5,0
43,1,5,5,4,0
49,6,1,3,4,0
23,17,8,1,5,1
63,26,8,4,3,1
27,1,4,2,1,0
49,26,7,2,1,1
49,16,10,3,4,1
65,10,3,8,5,1
65,26,6,8,1,1
41,11,10,7,1,0
51,26,10,6,3,1
32,18,9,9,2,1
49,21,1,4,4,0
46,23,5,1,4,0
60,24,4,8,2,1
54,6,8,7,1,0
22,19,1,7,3,0
48,5,9,3,3,0
34,20,6,4,4,1
62,23,4,10,3,0
24,0,9,9,2,1
60,16,5,6,1,0
27,28,5,5,2,0
29,30,5,3,5,1
48,10,1,9,4,0
30,21,1,5,3,1
58,25,8,5,5,0
54,27,8,4,3,1
63,17,6,4,1,0
65,20,4,1,1,0
45,16,2,7,1,0
36,6,2,9,3,0
53,16,9,3,5,0
53,19,5,2,1,1
45,8,4,3,5,0
62,16,10,1,3,1
33,19,1,6,5,0
60,21,7,7,3,1
23,21,3,2,3,0
24,27,6,8,4,1
58,30,5,6,3,1
38,28,5,4,3,1
23,7,5,5,2,0
23,16,1,8,1,0
49,6,1,3,4,0
44,0,3,3,4,0
58,12,10,4,4,0
53,29,4,1,2,0
54,22,5,9,3,1
22,18,2,8,1,0
40,26,8,8,5,1
23,23,2,10,3,1
65,18,9,6,2,1
47,29,2,7,3,0
53,29,9,6,3,1
27,28,7,9,2,1
53,16,8,3,4,1
25,12,2,3,4,0
32,28,7,3,1,0
38,29,6,10,1,1
59,15,4,3,4,1
45,7,7,9,5,1
26,18,4,4,3,0
55,17,2,7,5,0
27,0,10,9,3,0
43,13,7,7,4,1
32,18,8,9,1,1
37,14,2,3,1,0
54,17,5,4,5,1
30,1,1,8,1,1
27,21,7,6,4,1
37,27,8,5,5,0
50,16,6,4,3,1
24,17,5,8,1,0
41,29,6,1,2,0
57,5,2,9,1,0
40,18,1,1,3,0
47,30,7,8,5,1
24,3,7,4,3,0
40,0,10,9,2,1
41,7,10,5,4,1
53,28,2,3,1,0
28,22,2,9,5,0
62,6,1,9,4,0
54,2,10,4,3,0
61,9,8,4,5,1
60,9,8,8,4,0
39,18,1,2,5,0
61,13,8,9,2,1
22,1,9,6,2,0
32,27,4,9,1,1
49,0,1,8,1,1
46,22,1,7,2,0
44,22,3,1,5,0
52,27,5,3,2,0
51,17,5,2,1,0
63,6,9,5,2,1
56,28,10,5,2,1
28,7,2,5,5,0
37,0,2,4,4,0
47,24,6,5,1,1
23,22,9,3,5,0
22,2,1,1,2,0
33,23,9,5,2,0
26,22,9,9,4,1
58,26,9,9,1,1
53,30,5,4,1,1
30,28,9,3,3,0
62,7,4,1,1,0
56,21,2,2,4,0
40,24,6,8,3,1
37,14,4,1,3,1
24,4,6,8,2,1
41,2,3,7,2,0
45,18,6,8,1,0
54,0,2,6,3,0
45,27,2,9,2,0
32,14,9,3,4,0
29,7,7,10,2,1
57,1,3,4,2,0
59,2,1,6,3,0
61,23,8,8,3,1
41,13,6,5,5,0
56,23,7,3,4,0
46,13,9,6,3,1
56,10,5,4,1,0
46,15,1,9,4,0
50,3,10,3,4,0
39,19,7,4,3,1
39,4,5,7,4,0
23,21,3,7,3,0
56,20,9,4,2,1
37,13,1,6,5,0
62,30,1,3,2,0
57,22,1,6,3,0
54,15,3,2,3,0
25,17,6,8,2,1
54,6,10,2,1,0
35,9,3,7,1,1
42,6,8,9,1,0
41,0,10,1,3,0
29,22,2,8,4,0
28,20,9,7,3,0
24,18,3,6,4,1
38,15,5,6,2,0
54,28,10,6,5,1
33,18,8,9,4,1
43,3,2,2,1,0
43,28,6,1,3,0
51,27,5,6,2,0
59,17,10,10,1,1
59,1,9,8,2,1
29,0,5,3,5,1
48,14,2,10,3,1
48,4,5,1,3,0
55,19,4,9,5,1
42,10,7,1,3,0
51,9,6,3,4,1
54,30,2,8,2,0
49,1,5,3,1,0
54,2,7,4,5,1
26,22,7,8,4,1
40,22,5,1,1,1
25,11,9,6,1,1
56,19,4,1,5,0
38,4,3,1,4,0
65,4,4,8,1,0
49,5,5,4,1,1
51,29,6,1,4,1
50,8,3,10,3,1
27,1,2,7,1,0
56,20,4,5,2,1
62,11,5,5,4,1
58,2,4,1,1,0
45,19,3,10,5,1
50,25,8,6,2,1
52,21,10,9,1,0
56,11,4,9,2,1
54,23,2,8,2,0
42,16,2,5,3,1
53,9,1,1,2,0
44,29,4,9,3,1
54,23,10,1,4,1
24,26,9,8,3,1
39,13,7,5,5,1
46,22,10,3,1,1
63,16,7,7,4,1
52,17,7,7,4,1
24,18,8,9,5,1
61,16,1,7,3,1
45,13,10,3,1,1
53,8,10,1,3,0
43,7,8,8,2,1
44,1,4,3,3,0
23,12,4,8,4,1
48,24,4,8,1,1
63,6,6,5,3,0
23,8,7,1,1,0
47,21,6,10,1,1
38,21,1,7,2,1
61,10,8,10,2,1
54,13,10,5,4,1
30,3,7,8,5,1
64,25,6,9,1,0
60,25,6,7,5,0
50,28,5,7,4,1
63,12,6,1,1,0
47,1,9,4,1,0
56,22,10,2,5,1
46,4,9,2,3,1
45,10,10,2,2,1
34,5,8,4,3,1
28,17,10,1,5,0
57,20,9,4,2,1
41,9,10,2,3,0
22,3,8,5,2,1
29,8,8,3,1,0
37,5,1,8,3,0
35,1,10,4,2,0
33,16,5,1,2,0
44,4,4,1,2,1
36,24,2,10,3,1
49,5,8,3,4,1
55,25,3,9,3,0
23,11,4,7,5,0
53,22,7,2,3,1
44,20,10,9,2,1
43,9,9,10,1,0
46,21,2,2,3,0
43,20,3,3,3,0
43,26,4,10,2,1
63,24,10,2,1,0
27,30,1,3,1,0
36,5,7,6,5,1
64,26,2,9,3,1
58,7,5,9,1,0
54,1,1,7,1,0
29,11,3,3,4,1
65,12,2,4,4,0
65,24,1,6,1,1
26,20,7,5,5,1
60,6,5,2,1,0
25,9,1,6,2,0
27,12,6,3,3,1
53,16,5,8,5,1
51,25,3,2,2,1
56,20,7,1,5,1
61,27,10,9,2,1
37,29,9,3,3,1
34,25,9,1,3,1
63,13,9,7,4,1
51,1,2,10,2,1
40,27,3,5,4,0
38,21,7,5,2,1
40,10,5,1,4,1
49,0,2,9,3,1
47,18,3,7,5,0
58,20,10,8,4,1
47,3,6,9,2,0
44,18,7,6,2,0
30,25,9,5,3,1
33,28,1,6,2,0
22,20,7,2,1,0
22,10,8,4,5,1
55,7,3,3,4,0
53,10,4,7,5,0
46,3,10,9,3,1
61,16,6,5,4,0
22,26,10,6,4,1
37,6,7,10,1,1
60,7,4,2,3,0
26,2,8,3,2,0
43,21,5,3,1,0
50,1,1,9,1,0
24,22,4,7,5,0
33,14,3,8,5,0
47,23,9,10,5,1
37,21,8,9,1,1
58,21,1,6,2,0
43,4,6,4,4,0
50,23,9,1,5,0
35,0,7,8,2,1
49,25,4,7,3,0
26,3,1,2,5,0
51,14,2,8,4,0
26,19,5,5,3,0
33,18,5,7,3,1
37,2,8,4,4,1
47,19,6,5,5,1
47,10,8,8,1,1
42,16,2,1,4,0
60,29,3,1,4,0
57,26,6,4,4,1
54,12,10,3,3,0
51,10,3,10,2,1
58,1,6,2,1,1
44,8,6,3,5,0
31,25,2,1,5,0
26,1,7,1,2,0
57,20,2,6,4,0
55,8,6,5,1,0
52,8,1,8,5,0
31,7,3,2,5,0
40,16,2,4,4,1
53,0,7,8,2,1
22,24,4,6,1,0
26,28,8,1,2,1
25,10,6,4,2,0
37,7,10,1,1,0
45,9,4,2,1,0
37,24,5,5,5,0
23,6,9,8,5,0
49,2,7,8,1,0
53,2,10,3,3,1
48,17,9,4,5,0
41,4,7,10,3,1
45,11,1,6,1,0
33,11,8,10,5,1
56,18,4,3,2,0
54,29,3,2,1,0
54,5,7,6,4,0
64,1,3,5,3,0
58,11,8,10,1,1
33,18,6,5,1,1
24,4,5,10,5,1
22,11,4,5,5,1
54,26,8,10,5,1
61,26,8,5,4,1
31,16,1,3,5,0
64,28,9,7,1,1
65,16,5,6,5,0
50,9,4,4,2,1
34,24,6,2,5,1
33,22,6,9,4,1
52,16,2,1,2,0
23,14,8,4,1,1
56,11,7,1,1,1
44,29,1,6,3,0
38,15,5,4,2,0
47,23,6,5,3,1
29,18,4,5,2,0
50,7,2,9,2,0
47,30,4,1,4,0
31,20,1,2,3,0
47,16,7,6,4,0
55,22,2,5,2,1
62,4,2,7,1,0
28,21,9,3,2,1
25,15,5,3,4,0
32,5,2,10,3,0
50,7,9,2,3,0
57,24,9,3,4,0
46,17,1,10,3,0
42,24,3,1,5,0
57,11,4,5,1,0
31,14,7,5,1,0
58,26,10,7,1,1
30,25,4,4,3,0
45,8,2,3,3,1
56,12,7,1,2,0
56,25,6,8,2,1
57,14,3,3,1,1
39,9,6,2,5,1
60,15,6,4,2,1
53,6,5,3,2,1
45,16,4,1,3,0
44,22,10,3,5,1
53,25,1,2,1,0
58,20,10,8,2,1
33,21,6,6,5,0
34,25,2,9,5,1
44,6,3,8,1,0
46,13,8,10,5,1
56,14,10,3,5,1
62,20,6,5,5,0
51,6,3,7,2,1
38,8,7,5,1,1
41,18,4,8,5,0
46,15,9,5,5,0
43,7,5,1,2,0
34,17,3,5,1,1
40,26,2,4,3,0
57,22,2,6,2,0
33,28,3,3,1,0
62,17,2,5,5,0
40,30,4,2,1,0
33,29,2,6,1,0
30,19,10,6,1,0
28,6,9,5,3,1
49,2,2,6,1,0
35,17,9,7,3,0
52,26,6,5,5,1
40,9,1,1,3,0
37,6,4,8,5,0
26,16,1,4,5,0
56,13,6,9,3,1
33,30,4,10,2,1
46,23,3,6,4,0
42,2,3,1,1,0
57,11,9,3,4,0
44,27,6,3,1,0
37,12,9,10,1,1
60,1,5,4,5,1
63,2,2,6,1,0
60,4,8,7,1,1
35,10,5,10,3,0
52,7,2,4,4,0
26,25,4,6,3,0
56,22,9,1,1,1
44,22,4,8,5,0
50,11,4,7,3,1
64,6,2,9,3,0
32,14,6,3,2,1
39,23,2,2,1,0
33,16,7,1,5,1
30,3,3,3,3,0
31,28,3,5,3,0
65,21,5,2,5,1
38,24,3,3,1,0
59,12,2,4,2,0
28,17,10,7,3,0
34,0,9,3,2,0
61,15,2,9,4,1
63,12,2,8,1,0
30,9,8,4,4,0
48,11,9,1,4,1
23,29,7,1,4,0
26,1,3,1,1,0
50,22,9,1,1,0
58,2,3,8,5,1
59,9,5,3,2,0
40,1,9,6,2,1
29,29,3,3,5,1
22,26,7,5,5,1
43,22,1,7,4,0
38,12,4,2,5,0
28,12,4,6,3,1
46,17,7,6,2,1
25,2,8,3,5,0
57,26,1,6,3,0
27,6,5,10,3,1
52,13,7,10,3,1
40,19,4,5,3,1
65,28,4,2,4,1
60,29,4,9,3,1
48,16,6,8,4,1
31,28,7,3,4,0
47,29,2,8,3,0
40,20,5,9,2,0
60,11,4,3,3,0
24,24,3,3,3,0
34,15,7,2,3,1
49,23,6,8,2,1
41,11,7,10,1,1
49,14,5,1,1,0
29,24,6,8,4,0
62,9,5,7,4,0
60,29,7,7,2,0
22,24,2,3,5,1
24,30,5,1,1,0
34,6,6,4,4,0
49,19,6,9,1,1
46,4,5,5,2,0
54,0,10,1,2,0
59,29,7,5,5,1
27,16,10,8,5,1
65,2,8,8,2,1
53,12,7,5,4,1
42,13,5,9,1,0
37,23,1,1,3,0
42,29,5,4,5,0
32,17,10,3,3,1
58,3,2,2,4,0
57,17,5,8,5,0
56,29,5,7,3,0
40,4,2,9,4,0
41,24,5,2,1,1
39,15,4,4,4,0
62,0,1,6,5,0
35,20,3,3,2,0
36,13,1,8,1,1
52,14,5,3,3,0
22,8,4,2,5,0
24,14,7,3,2,0
37,16,5,6,4,1
44,24,10,2,2,1
32,23,4,8,5,1
33,3,2,1,5,0
31,11,4,7,2,1
53,26,2,2,4,0
37,25,8,10,2,1
29,4,3,6,5,1
59,28,9,2,5,1
33,4,4,2,3,0
45,10,6,10,3,1
49,27,10,8,1,0
29,5,5,2,5,1
49,6,10,7,3,1
57,23,1,3,2,1
47,30,9,8,4,1
29,13,1,7,2,1
49,23,8,8,4,0
49,10,9,7,3,1
58,29,9,6,1,0
62,12,1,7,2,0
57,1,2,5,2,0
48,24,1,7,2,0
38,6,10,1,4,1
30,19,2,1,3,1
54,3,10,9,2,1
41,26,8,5,2,1
34,7,5,5,1,1
49,19,7,3,1,1
50,28,2,5,3,0
34,30,8,3,3,1
56,21,6,9,5,1
27,20,8,9,1,0
39,18,1,6,5,0
26,12,1,1,4,0
46,13,7,7,5,1
23,9,8,7,2,0
31,10,3,10,5,1
51,1,5,10,3,1
26,24,1,4,4,0
54,25,7,8,2,0
22,8,5,6,5,0
39,16,8,4,4,1
53,25,8,4,4,1
32,2,9,2,2,0
42,23,7,2,5,1
47,5,1,4,4,0
46,4,3,5,4,0
43,4,8,8,1,1
48,21,3,6,4,1
34,14,8,4,1,1
54,22,1,7,5,1
55,16,5,8,5,1
62,8,4,2,5,1
56,2,5,7,3,1
22,19,8,2,5,1
42,25,10,2,4,0
27,16,4,8,2,0
49,28,4,2,1,0
38,26,3,9,3,1
26,9,7,1,5,0
52,2,3,9,5,1
26,17,3,1,2,0
59,17,10,10,2,1
24,29,5,10,3,1
44,16,5,2,1,1
58,23,6,6,5,1
58,2,8,6,3,1
31,2,10,1,4,1
31,5,6,7,4,1
40,12,1,8,3,0
38,23,8,2,5,1
42,28,8,8,3,1
35,14,9,9,5,1
30,24,9,6,2,1
22,8,2,5,3,0
34,3,2,9,5,0
25,13,3,9,3,1
22,4,1,1,3,0
61,1,4,3,5,0
53,10,4,9,5,0
55,8,9,2,1,0
49,23,9,4,3,1
52,2,9,4,4,0
29,26,10,2,3,1
60,27,7,3,3,1
47,28,2,3,5,0
55,8,10,1,3,1
24,2,5,6,3,0
33,24,4,8,4,0
22,1,8,3,5,0
65,11,2,5,3,0
26,9,6,1,2,0
51,8,5,10,1,1
51,14,2,7,4,0
38,7,10,10,3,1
44,24,1,1,2,0
36,4,8,9,3,0
58,10,2,8,3,1
42,26,7,7,5,1
35,1,9,10,5,1
23,23,9,7,5,1
32,27,8,5,2,1
60,14,10,5,3,1
59,5,9,5,1,1
55,7,2,1,4,0
59,26,6,8,5,1
55,4,4,1,5,1
39,15,4,4,3,1
51,25,5,9,3,0
36,17,3,9,2,1
48,5,1,5,2,0
55,4,8,4,5,1
59,27,5,3,3,0
54,15,3,3,1,0
45,12,10,5,4,1
36,27,7,10,3,1
51,4,7,1,3,0
63,12,1,5,2,0
38,16,9,6,4,1
26,17,2,7,5,0
50,7,5,9,3,1
25,12,5,3,5,0
31,29,8,2,3,0
38,28,8,3,5,0
31,18,7,9,4,1
38,25,7,7,2,0
41,2,6,9,4,1
45,23,6,2,1,0
26,7,9,5,2,1
55,1,6,4,4,0
27,7,2,2,1,0
23,26,2,9,3,1
34,12,5,9,3,0
64,12,4,6,5,1
64,0,2,6,2,0
32,5,3,8,3,1
44,23,7,6,2,1
37,18,8,1,3,0
52,15,6,4,5,1
32,7,5,7,4,1
37,27,1,2,5,1
29,0,8,9,1,1
25,26,3,8,3,1
61,26,6,8,1,0
25,15,3,7,1,0
46,8,7,4,2,0
24,12,7,2,3,0
53,10,9,3,1,1
24,12,5,6,4,0
48,24,8,5,1,0
50,20,10,8,4,1
53,9,10,6,2,0
40,3,8,6,1,0
42,30,1,1,5,0
26,26,5,4,2,1
39,5,3,5,4,1
49,27,1,3,2,0
63,6,4,9,1,0
43,4,8,1,3,0
42,10,3,6,3,0
27,12,10,6,4,1
22,25,2,10,4,1
26,24,9,5,3,1
62,18,10,5,4,1
33,30,5,10,2,0
47,22,7,5,5,1
55,9,2,6,5,1
35,9,9,8,2,1
47,10,9,2,5,1
48,20,4,6,1,0
30,29,4,1,2,1
47,6,6,4,4,1
43,30,10,10,2,1
51,17,10,3,3,0
64,3,10,9,4,1
38,1,6,3,3,0
47,13,1,6,4,0
57,12,9,1,5,0
22,28,2,6,2,0
29,11,5,4,1,0
56,6,9,8,4,1
36,1,4,9,4,1
43,12,3,4,3,0
35,13,7,10,5,1
47,26,6,10,3,1
49,16,8,6,3,1
44,8,3,1,5,0
35,16,5,4,1,1
45,7,10,7,3,1
23,30,4,1,3,0
47,1,4,8,4,1
35,27,4,10,5,1
28,23,10,6,2,1
24,12,8,5,1,0
44,2,6,10,1,0
64,15,3,9,5,0
39,5,10,2,4,1
59,18,5,5,4,1
56,29,6,6,5,1
36,6,5,7,4,0
46,9,6,5,1,0
58,8,8,9,1,1
49,1,7,1,2,0
31,30,5,7,5,1
60,27,10,10,3,1
38,27,6,7,3,1
60,14,4,4,2,0
43,29,9,9,2,1
47,4,4,5,4,1
65,28,1,4,2,0
46,21,7,7,2,1
38,3,7,4,3,1
34,19,4,3,4,0
41,3,3,9,2,0
46,17,8,8,2,1
25,3,5,1,4,0
31,26,10,7,5,1
24,16,7,9,4,1
62,11,4,8,3,0
39,21,4,8,5,0
57,16,8,6,1,1
43,9,8,4,4,1
55,21,2,8,3,1
29,0,2,3,5,0
61,21,3,9,4,0
65,25,3,2,2,0
40,23,1,2,4,0
63,26,3,7,1,0
62,17,6,10,4,1
58,17,8,4,5,0
27,13,10,10,5,1
47,14,6,8,4,1
55,28,5,9,5,1
27,11,4,7,2,0
58,3,3,5,4,0
54,26,4,8,2,1
43,2,7,4,2,0
42,19,1,2,3,0
27,28,7,6,4,1
27,11,1,9,5,1
25,6,2,1,2,0
51,28,4,10,3,1
32,10,1,7,4,0
51,0,9,10,4,1
52,5,6,9,1,1
45,14,1,10,1,0
30,14,1,9,2,0
24,18,6,10,1,0
52,10,4,3,2,0
61,25,4,5,5,1
58,22,6,8,2,0
57,25,7,8,1,0
45,1,9,4,5,0
52,13,10,1,1,0
27,1,5,1,2,0
23,28,9,4,3,0
41,3,4,6,4,0
49,16,10,8,1,1
32,2,2,6,2,0
25,12,3,9,5,0
36,8,1,9,1,1
27,6,6,2,1,1
51,14,6,10,4,1
59,22,1,1,2,0
23,28,3,2,3,1
36,28,5,5,5,1
32,10,3,4,2,0
29,19,10,4,5,0
47,1,3,9,1,0
65,14,10,8,4,1
26,13,3,6,4,0
27,19,5,1,3,1
47,21,5,2,4,0
25,10,4,6,1,1
40,26,1,2,3,0
41,2,5,10,2,0
54,16,10,5,4,0
41,29,5,5,3,0
33,11,4,6,1,0
22,23,6,6,5,1
47,27,10,6,5,0
35,28,4,2,1,0
59,20,7,10,1,0
58,14,7,3,5,0
32,15,2,6,3,1
57,4,3,8,5,1
34,26,1,1,1,0
64,19,8,1,4,1
24,5,9,2,2,0
54,18,4,6,4,0
27,24,6,9,4,1
31,4,9,4,1,1
26,2,6,3,5,0
44,26,9,8,3,1
31,0,4,10,4,1
65,25,8,9,5,1
23,27,9,5,3,1
34,5,4,9,4,0
61,14,5,2,3,1
23,1,8,3,5,0
41,28,10,7,2,1
22,2,6,7,5,1
58,16,7,6,1,1
30,24,3,6,3,1
38,23,7,2,2,1
30,11,8,10,3,1
32,17,10,6,3,0
36,14,6,4,4,1
45,11,10,3,1,0
59,15,9,2,3,0
56,26,6,1,5,1
51,7,9,5,5,1
52,27,4,2,4,0
26,13,8,2,1,0
65,24,4,7,1,0
35,16,2,8,5,1
32,28,10,10,2,1
30,20,9,8,4,1
55,7,5,4,4,1
33,14,4,1,5,1
56,26,2,7,5,0
56,13,1,1,2,0
22,17,7,4,2,1
61,19,6,8,1,0
43,6,2,2,4,0
50,2,8,6,4,0
29,28,4,6,5,0
32,11,8,9,1,1
62,20,7,5,4,1
58,23,5,10,1,1
35,27,10,4,1,0
51,25,10,5,5,1
56,2,8,10,1,1
42,19,9,5,2,1
58,13,5,8,2,0
26,14,10,10,3,1
40,24,5,8,5,1
35,29,2,2,3,1
47,13,5,7,2,0
25,6,3,8,3,1
46,16,7,6,5,0
63,29,10,5,5,0
46,11,5,9,1,0
39,19,8,3,4,1
61,3,1,10,1,1
29,8,3,4,5,0
60,5,3,9,2,1
61,15,9,6,2,0
35,24,5,8,1,0
53,27,9,7,5,1
59,30,9,2,2,1
54,21,1,3,5,0
44,21,2,1,2,0
36,20,5,9,5,0
54,20,4,7,3,0
46,1,10,1,5,1
38,23,9,3,5,1
54,7,7,4,1,0
23,10,6,4,3,1
35,12,7,5,4,1
61,16,1,3,1,0
61,7,1,3,4,0
